team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Titans,TEN,29,HB,554175052,Tyjae Spears,4,0,2405,32,14,87.70,29,98.21,1,58,4,203,357,7.00,12.31,26.87
Titans,TEN,29,TE,554174529,Chigoziem Okonkwo,5,7,1869,85,9,36.40,23,100.00,0,24,5,99,233,4.30,10.13,13.61
Titans,TEN,29,TE,554173649,Connor Heyward,5,0,1764,89,4,9.00,5,100.00,0,16,1,25,30,5.00,6.00,1.81
Titans,TEN,29,WR,554172802,Treylon Burks,5,0,1226,16,16,99.00,46,100.00,0,50,8,232,738,5.04,16.04,43.87
Vikings,MIN,30,HB,554173874,Randy Finney,1,0,3809,28,15,55.30,33,88.89,5,34,1,179,319,5.42,9.67,15.66
Vikings,MIN,30,FB,554174016,Hunter Taylor,2,0,3362,48,2,12.20,1,25.00,2,62,1,29,62,29.00,62.00,4.43
Vikings,MIN,30,WR,554174713,Jameel Wilds,2,0,3846,16,8,28.80,28,95.00,2,32,2,124,318,4.43,11.36,33.36
Vikings,MIN,30,WR,554173893,Evan Vaughan,3,28,3824,13,2,21.60,13,100.00,0,23,1,52,156,4.00,12.00,108.50
Vikings,MIN,30,TE,554175232,John Skinner,3,0,3404,81,8,26.50,12,93.75,1,73,1,98,205,8.17,17.08,19.24
Vikings,MIN,30,HB,554174915,LaDarius Davis,3,0,3926,34,13,40.50,34,96.34,2,56,4,210,356,6.18,10.47,21.86
Vikings,MIN,30,WR,554172433,Jordan Addison,4,0,813,3,17,114.20,92,97.65,2,50,9,427,1124,4.64,12.22,62.47
Vikings,MIN,30,WR,554173070,Gabe Davis,7,0,238,89,15,105.50,55,86.67,3,80,3,259,875,4.71,15.91,43.72
Vikings,MIN,30,WR,554172854,Parris Campbell,8,0,9413,88,13,83.70,44,90.60,3,82,4,297,597,6.75,13.57,35.04
Vikings,MIN,30,TE,554173683,T.J. Hockenson,8,0,9503,87,16,81.10,65,97.02,3,33,5,232,751,3.57,11.55,41.86
