team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Dolphins,MIA,11,WR,554172520,Tutu Atwell,6,0,1315,83,3,14.80,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,FB,554173783,Alec Ingold,8,0,9514,30,5,11.90,12,5,0,8,1,0,3,59,0.60,4.92,2.34
Dolphins,MIA,11,WR,554175039,JuJu Smith-Schuster,10,0,8729,89,2,18.50,2,0,0,8,0,0,1,6,0.50,3.00,0.14
Eagles,PHI,12,TE,554174323,Larry Rutherford,1,0,4089,89,2,6.80,1,1,0,2,1,0,0,2,0.00,2.00,1.10
Eagles,PHI,12,HB,554174620,T.J. Meekins,1,0,3810,38,5,4.40,11,2,0,12,0,0,14,44,2.80,4.00,3.26
Eagles,PHI,12,HB,554175193,Calvin Heath,3,0,4222,33,14,90.50,184,22,2,33,6,2,204,880,14.57,4.78,60.95
Eagles,PHI,12,QB,554174459,Christopher Knott,3,0,3360,0,6,-1.30,13,0,0,0,0,0,0,-13,0.00,-1.00,-1.50
Eagles,PHI,12,HB,554174295,Kenny McIntosh,4,0,2306,25,8,22.50,35,1,0,11,5,0,17,150,2.13,4.29,9.27
Eagles,PHI,12,WR,554175003,DeVonta Smith,6,0,1369,6,6,21.00,0,6,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,QB,554173771,Jalen Hurts,7,0,704,1,17,113.74,70,9,4,29,4,1,18,387,1.06,5.53,24.98
Eagles,PHI,12,WR,554175382,Quez Watkins,7,0,651,16,4,41.40,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,WR,554172747,A.J. Brown,8,0,9397,11,7,38.70,0,9,1,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,TE,554173437,Dallas Goedert,9,2,8901,88,7,32.10,0,12,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,HB,554174370,Joe Mixon,10,0,9241,20,8,39.60,81,10,0,13,7,0,35,307,4.38,3.79,33.75
Falcons,ATL,13,TE,554174838,Eddie Burns,1,0,3370,6,4,13.30,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,HB,554172431,Colt Hand,2,0,3370,31,4,8.20,18,2,0,8,1,0,1,34,0.25,1.89,2.86
Falcons,ATL,13,HB,554173641,Connor Carruthers,2,0,3763,19,4,6.00,8,1,1,9,1,0,4,26,1.00,3.25,5.80
Falcons,ATL,13,QB,554175315,LaRon Barrett,2,0,3410,9,15,71.56,30,0,5,9,0,0,4,47,0.27,1.57,2.04
Falcons,ATL,13,WR,554173066,Dion Huggins,3,0,3696,85,3,0.00,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,WR,554172897,J.D. Fleming,3,0,3762,88,4,30.70,2,2,0,3,0,0,3,5,0.75,2.50,0.63
Falcons,ATL,13,HB,554174807,Bijan Robinson,4,0,2613,7,17,174.20,257,43,1,97,17,6,480,1332,28.24,5.18,73.89
Falcons,ATL,13,WR,554173155,Josh Downs,4,0,2117,86,4,0.60,0,3,2,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,QB,554173029,Malik Cunningham,4,0,0,16,1,0.20,4,0,0,4,0,0,0,2,0.00,0.50,0.29
Falcons,ATL,13,WR,554174158,Drake London,5,0,1813,5,5,65.90,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,WR,554173149,Romeo Doubs,5,0,1471,87,4,-4.00,0,2,2,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,TE,554174670,Kyle Pitts,6,36,1375,8,3,44.50,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,TE,554174492,David Njoku,10,0,8674,80,2,2.40,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,TE,554174408,Cortez Nicholas,1,0,4082,83,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,HB,554174137,Jason Barnes,2,0,3858,23,17,160.00,266,33,4,80,17,13,428,1675,25.18,6.30,98.45
Giants,NYG,15,WR,554175047,David Covington,3,0,3404,87,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,QB,554172429,David Ramos,3,0,3947,11,14,68.70,33,1,3,18,0,0,10,86,0.71,2.61,8.03
Giants,NYG,15,TE,554173565,Rashaun Green,3,7,4207,81,3,11.80,0,3,0,0,0,0,0,0,0.00,0.00,0.00
