team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,recTotalCatches,recAvgCatchPct,recTotalDrops,recTotalLongest,recTotalTDs,recTotalYdsAfterCatch,recTotalYds,recAvgYacPerCatch,recAvgYdsPerCatch,recAvgYdsPerGame
Seahawks,SEA,27,HB,551028786,Cordarrelle Patterson,12,0,6017,37,3,1.70,3,100.00,0,25,0,21,35,7.00,11.67,1.94
Steelers,PIT,28,WR,551027577,Troy Franklin,1,0,10077,16,15,132.60,69,95.49,4,73,9,351,1052,5.09,15.25,65.75
Steelers,PIT,28,TE,551029270,Brenton Strange,2,0,2415,85,2,7.40,2,100.00,0,8,1,4,14,2.00,7.00,0.82
Steelers,PIT,28,HB,551027636,Jahmyr Gibbs,2,0,2564,26,15,119.90,51,95.71,3,47,2,322,527,6.31,10.33,31.00
Steelers,PIT,28,HB,551028986,Brian Robinson Jr,3,0,1918,8,7,24.60,8,100.00,0,12,0,30,38,3.75,4.75,2.24
Steelers,PIT,28,TE,551028755,Cade Otton,3,0,1872,88,16,71.20,48,92.19,4,40,4,138,505,2.88,10.52,29.71
Steelers,PIT,28,WR,551029110,Khalil Shakir,3,0,1942,10,4,11.70,9,81.25,2,21,1,27,109,3.00,12.11,6.41
Steelers,PIT,28,WR,551029237,Amon-Ra St. Brown,4,0,1313,14,14,133.00,73,91.96,5,70,9,434,1164,5.95,15.95,83.14
Steelers,PIT,28,TE,551029761,Shane Zylstra,4,0,2716,84,1,8.70,1,100.00,0,27,1,3,27,3.00,27.00,1.59
Steelers,PIT,28,WR,551027805,Deonte Harty,6,0,327,89,3,6.00,4,66.67,1,20,0,18,60,4.50,15.00,3.53
Steelers,PIT,28,HB,551027912,Travis Homer,6,0,9507,20,2,1.30,2,100.00,0,10,0,10,13,5.00,6.50,0.81
Steelers,PIT,28,WR,551026869,Odell Beckham Jr,11,0,6340,83,15,41.70,42,93.33,2,27,2,140,511,3.33,12.17,30.06
