team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,passTotalAtt,passTotalComp,passAvgCompPct,passTotalInts,passTotalLongest,passerAvgRating,passTotalSacks,passTotalTDs,passTotalYds,passAvgYdsPerAtt,passAvgYdsPerGame
Saints,NO,26,QB,554175495,Malik Willis,5,0,2039,7,6,35.80,135,67,49.63,7,47,66.23,6,9,822,6.09,86.64
Saints,NO,26,QB,554175385,Deshaun Watson,10,0,8769,2,13,83.38,304,202,66.45,7,44,108.18,20,21,2736,9.00,202.10
Seahawks,SEA,27,QB,554172524,Deontae Sapp,3,0,3657,1,17,137.46,507,328,64.69,27,82,101.06,34,43,4799,9.47,258.30
Seahawks,SEA,27,QB,554172995,Matt Corral,5,0,1317,19,1,0.00,1,0,0.00,0,0,39.50,0,0,0,0.00,0.00
Steelers,PIT,28,QB,554174706,Brock Purdy,5,0,1899,0,1,0.20,1,1,100.00,0,5,87.50,0,0,5,5.00,0.71
Steelers,PIT,28,QB,554175141,Tua Tagovailoa,7,0,600,1,17,112.44,524,357,68.13,7,75,105.36,31,33,4268,8.15,264.33
Texans,HOU,31,QB,554174702,Doug Dorsey,1,0,3958,13,1,1.52,8,4,50.00,0,16,63.50,0,0,38,4.75,12.67
Texans,HOU,31,QB,554174079,Trey Lance,6,0,1368,15,17,115.60,486,303,62.35,11,78,114.73,11,49,4496,9.25,262.41
Texans,HOU,31,QB,554172726,Teddy Bridgewater,13,0,6359,0,1,1.28,2,2,100.00,0,20,118.70,0,0,32,16.00,32.00
Titans,TEN,29,QB,554173503,Zach Cody,1,0,4062,19,17,119.80,439,288,65.60,9,73,108.71,19,36,3929,8.95,216.74
Titans,TEN,29,QB,554173402,Joshua Thomas,3,0,3666,17,4,11.24,15,10,66.67,0,34,101.23,1,2,144,9.60,54.22
Vikings,MIN,30,QB,554173878,Colin LaMontagne,1,0,4204,6,2,14.38,84,52,61.90,4,29,80.40,6,5,540,6.43,281.50
Vikings,MIN,30,QB,554172911,Brad Bradley,3,0,3360,4,13,52.36,406,277,68.23,16,82,100.82,25,23,3497,8.61,231.05
Vikings,MIN,30,QB,554173346,Feleipe Franks,6,0,874,15,3,13.72,73,46,63.01,2,56,97.53,2,4,731,10.01,118.48
