team__displayName,team__abbrName,team__logoId,player__position,player__rosterId,player__fullName,player__yearsPro,player__injuryLength,player__portraitId,player__jerseyNum,gamesPlayed,fantasy_points,rushTotalAtt,rushTotalBrokenTackles,rushTotalFum,rushTotalLongest,rushTotalTDs,rushTotal20PlusYds,rushTotalYdsAfterContact,rushTotalYds,rushAvgYdsAfterContact,rushAvgYdsPerAtt,rushAvgYdsPerGame
Commanders,WAS,25,TE,551026734,Davis Allen,2,0,852,86,1,1.50,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,TE,551029727,Brock Wright,4,0,1102,89,3,0.30,2,3,0,2,0,0,2,3,0.67,1.50,0.18
Commanders,WAS,25,WR,551028767,Joshua Palmer,4,0,1248,5,4,2.40,1,7,0,0,0,0,0,-1,0.00,-1.00,-0.06
Commanders,WAS,25,HB,551028101,Ty Johnson,6,0,136,25,2,-2.00,0,2,1,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,HB,551027887,Nyheim Hines,7,0,8925,22,6,-2.90,2,6,2,9,0,0,5,11,0.83,5.50,0.65
Commanders,WAS,25,HB,551028181,Alvin Kamara,8,0,8617,49,14,41.40,187,64,5,74,5,5,397,885,28.36,4.73,63.21
Commanders,WAS,25,HB,551027448,Austin Ekeler,8,0,9179,30,15,10.18,56,13,1,14,1,0,77,156,5.13,2.79,9.18
Commanders,WAS,25,QB,551028389,Patrick Mahomes,8,0,8648,15,12,150.14,17,2,4,10,3,0,6,41,0.50,2.41,2.41
Commanders,WAS,25,WR,551029362,Michael Thomas,9,0,8231,84,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,WR,551026961,Tyler Boyd,9,0,7903,81,7,15.70,0,8,0,0,0,0,0,0,0.00,0.00,0.00
Commanders,WAS,25,WR,551026696,Davante Adams,11,0,6328,83,8,60.40,4,9,0,12,0,0,4,9,0.50,2.25,0.53
Commanders,WAS,25,WR,551026739,Keenan Allen,12,0,5654,88,5,8.50,1,7,0,5,0,0,3,5,0.60,5.00,0.13
Commanders,WAS,25,TE,551028196,Travis Kelce,12,0,5920,87,7,52.70,0,10,1,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,HB,551029773,Frank Gore Jr,1,0,10085,8,1,0.10,5,1,0,3,0,0,6,1,6.00,0.20,0.20
Cowboys,DAL,10,FB,551028365,Hunter Luepke,2,0,2291,33,9,3.40,11,3,2,45,0,2,17,85,1.89,7.73,5.00
Cowboys,DAL,10,TE,551028432,Michael Mayer,2,0,2299,87,7,7.10,1,11,0,9,0,0,1,9,0.14,9.00,0.64
Cowboys,DAL,10,WR,551026798,Calvin Austin,3,0,1150,9,5,10.10,0,9,1,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,WR,551027385,Jahan Dotson,3,0,4191,11,4,10.70,1,8,1,0,0,0,0,-3,0.00,-3.00,-0.27
Cowboys,DAL,10,WR,551029399,Jalen Tolbert,3,0,1987,1,9,43.40,1,15,1,8,0,0,2,8,0.22,8.00,0.47
Cowboys,DAL,10,HB,551029539,Jaylen Warren,3,0,2012,30,10,62.60,79,26,0,54,4,3,114,397,11.40,5.03,39.70
Cowboys,DAL,10,HB,551029595,Zamir White,3,0,2030,26,2,3.10,9,2,0,11,1,0,11,31,5.50,3.44,6.20
Cowboys,DAL,10,QB,551028265,Trey Lance,4,6,1368,19,13,106.48,90,12,6,54,3,4,101,522,7.77,5.80,40.15
Cowboys,DAL,10,WR,551027174,Chase Claypool,5,0,700,81,7,17.60,4,4,0,7,1,0,1,8,0.14,2.00,0.47
Cowboys,DAL,10,TE,551028772,Donald Parham Jr,5,0,1498,89,1,0.00,0,1,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,WR,551027407,Ashton Dulin,6,0,9444,87,6,31.90,0,10,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,TE,551027209,Tyler Conklin,7,0,8852,83,3,3.20,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Cowboys,DAL,10,QB,551029578,Carson Wentz,9,0,8258,18,7,61.24,24,0,3,14,2,0,14,40,2.00,1.67,2.67
Cowboys,DAL,10,HB,551027846,Derrick Henry,9,0,8045,22,17,136.00,154,37,3,95,10,9,412,963,24.24,6.25,56.65
Cowboys,DAL,10,HB,551028489,Jerick McKinnon,11,0,6521,28,12,15.40,25,13,0,11,0,0,23,62,1.92,2.48,4.43
Dolphins,MIA,11,TE,551029082,Luke Schoonmaker,2,0,2384,88,2,1.60,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,WR,551028546,Marvin Mims Jr,2,0,2312,19,9,45.70,3,7,3,3,0,0,0,-3,0.00,-1.00,-0.23
Dolphins,MIA,11,FB,551027863,Connor Heyward,3,0,1764,34,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,HB,551029639,Kyren Williams,3,0,2036,23,15,55.00,146,43,3,24,6,1,131,468,8.73,3.21,31.20
Dolphins,MIA,11,WR,551028587,Elijah Moore,4,0,1162,8,7,21.00,3,7,0,4,0,0,3,3,0.43,1.00,0.18
Dolphins,MIA,11,WR,551026717,Brandon Aiyuk,5,0,71,11,13,105.40,11,11,1,8,0,0,3,27,0.23,2.45,1.59
Dolphins,MIA,11,HB,551027373,J.K. Dobbins,5,0,257,27,7,34.20,36,6,0,8,4,0,5,119,0.71,3.31,7.00
Dolphins,MIA,11,QB,551027067,Joe Burrow,5,0,198,3,13,126.64,27,3,2,11,1,0,0,91,0.00,3.37,5.35
Dolphins,MIA,11,QB,551028551,Gardner Minshew II,6,0,9575,15,1,-3.44,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,TE,551027893,T.J. Hockenson,6,0,9503,87,7,14.70,0,14,3,0,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,WR,551027382,Greg Dortch,7,0,9442,4,1,-2.00,0,0,1,0,0,0,0,0,0.00,0.00,0.00
Dolphins,MIA,11,WR,551026713,Jamal Agnew,8,0,9132,86,5,0.20,2,9,0,4,0,0,0,2,0.00,1.00,0.12
Dolphins,MIA,11,HB,551027455,Ezekiel Elliott,9,0,7993,22,11,27.00,47,15,1,19,3,0,29,218,2.64,4.64,12.82
Eagles,PHI,12,TE,551028215,Dalton Kincaid,2,0,2277,86,6,17.20,0,8,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,WR,551027341,Tank Dell,2,0,2090,3,12,61.20,1,11,0,7,0,0,0,7,0.00,7.00,0.41
Eagles,PHI,12,HB,551027942,Chuba Hubbard,4,0,1234,30,11,26.50,41,8,0,13,2,0,21,145,1.91,3.54,8.53
Eagles,PHI,12,TE,551027701,Noah Gray,4,0,1085,83,2,4.70,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,HB,551029249,Rhamondre Stevenson,4,0,1146,38,17,74.80,168,66,4,30,5,1,232,693,13.65,4.12,40.77
Eagles,PHI,12,WR,551027418,Devin Duvernay,5,0,265,12,9,17.60,2,19,0,6,0,0,0,10,0.00,5.00,0.71
Eagles,PHI,12,QB,551027970,Jalen Hurts,5,0,704,1,12,114.26,51,2,4,16,4,0,22,299,1.83,5.86,23.00
Eagles,PHI,12,WR,551028970,Calvin Ridley,7,0,9038,0,5,23.90,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,WR,551028483,Isaiah McKenzie,8,0,8659,87,7,10.60,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Eagles,PHI,12,QB,551028399,Marcus Mariota,10,0,6979,13,6,50.52,21,2,0,20,0,1,19,88,3.17,4.19,5.87
Falcons,ATL,13,HB,551028496,Jaleel McLaughlin,2,0,0,38,8,2.10,2,10,0,14,0,0,2,21,0.25,10.50,1.40
Falcons,ATL,13,WR,551029552,Christian Watson,3,0,2013,9,5,27.10,0,4,1,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,HB,551028840,Dameon Pierce,3,0,1891,33,13,73.60,48,15,0,23,11,2,71,203,5.46,4.23,11.94
Falcons,ATL,13,HB,551027551,Jerome Ford,3,0,1604,34,17,157.30,283,67,2,56,14,9,413,1375,24.29,4.86,80.88
Falcons,ATL,13,TE,551028777,Colby Parkinson,5,0,504,86,2,0.00,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,WR,551028807,Donovan Peoples-Jones,5,0,514,19,2,0.40,0,2,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,QB,551027849,Justin Herbert,5,0,346,10,13,117.44,37,2,0,15,2,0,8,123,0.62,3.32,7.24
Falcons,ATL,13,TE,551028089,Juwan Johnson,5,0,399,83,10,30.70,0,16,0,0,0,0,0,0,0.00,0.00,0.00
Falcons,ATL,13,WR,551028530,Jakobi Meyers,6,0,9570,16,10,72.70,2,11,0,3,0,0,2,1,0.20,0.50,0.06
Falcons,ATL,13,TE,551027369,Will Dissly,7,0,8871,81,3,10.10,0,4,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,QB,551028802,Michael Penix Jr,1,0,10207,9,14,167.28,42,3,1,19,0,0,-3,133,-0.21,3.17,7.82
Giants,NYG,15,WR,551027654,Xavier Gipson,2,0,0,82,6,13.70,1,9,0,0,0,0,0,-3,0.00,-3.00,-0.18
Giants,NYG,15,WR,551028519,Bo Melton,3,0,1850,80,4,17.70,3,5,0,22,0,1,1,19,0.25,6.33,1.12
Giants,NYG,15,HB,551027737,Breece Hall,3,0,1747,20,17,169.40,191,60,2,51,11,8,207,996,12.18,5.21,58.59
Giants,NYG,15,TE,551027406,Greg Dulcich,3,0,1550,86,4,4.20,0,7,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,HB,551027143,Ty Chandler,3,0,1267,32,9,11.10,21,11,2,7,0,0,10,63,1.11,3.00,3.71
Giants,NYG,15,WR,551028526,D.K. Metcalf,6,0,9569,14,5,9.70,6,5,0,13,0,0,15,30,3.00,5.00,2.50
Giants,NYG,15,WR,551028497,Terry McLaurin,6,0,9567,17,8,23.50,5,9,0,12,2,0,3,39,0.38,7.80,2.29
Giants,NYG,15,TE,551027968,Hayden Hurst,7,0,8930,88,5,26.90,0,11,0,0,0,0,0,0,0.00,0.00,0.00
Giants,NYG,15,HB,551026980,Matt Breida,8,0,9149,28,1,2.40,3,0,0,6,1,0,0,11,0.00,3.67,0.79
Jaguars,JAX,16,HB,551026695,De'Von Achane,2,0,676,28,17,136.60,241,50,1,61,17,9,270,1297,15.88,5.38,76.29
